product_id,product_name,brand,category,subcategory,model_number,description,price,currency,voltage,power,frequency,rpm,weight,dimensions,material,ip_rating,warranty,manufacturer,country,supplier,source,technical_document,product_url
PID-10013,yokogawa Vibration Sensor YOK-SNS-488,Yokogawa,Sensors,Vibration Sensor,YOK-SNS-488,<div><p>Industrial Sensors - YOK-SNS-488</p><span>Manufacturer: Yokogawa</span><br>Standard spec with warranty: 24 months</div>,3863.48,EUR,4-20mA 24V,0.01 kW,N/A,N/A,61.6 LBS,849x643x613mm,Titanium,,24 months,Yokogawa,Japan,Precision Parts Direct,Supplier Price File 2024,https://docs.productiq-assets.com/specs/yokogawa/yok-sns-488.pdf,https://www.industrial-supply-direct.com/item/yok-sns-488
PID-10014,FAG Schaeffler Deep Groove Ball Bearing FAG-BRG-334,fag schaeffler,Bearings,Deep Groove Ball Bearing,FAG-BRG-334,Heavy-duty industrial grade Deep Groove Ball Bearing engineered by fag schaeffler. Designed for continuous continuous operation in harsh industrial environments with high thermal efficiency and rugged construction.,7511.37,GBP,,N/A,N/A,3200 RPM,288.3 kg.,L:578 W:582 H:125,Stainless Steel 440C,,24 months,fag schaeffler,Switzerland,Precision Parts Direct,Vendor Portal Upload,https://docs.productiq-assets.com/specs/fag_schaeffler/fag-brg-334.pdf,https://www.industrial-supply-direct.com/item/fag-brg-334
PID-10015,atlas copco Reciprocating Air Compressor ATL-CMP-680,Atlas Copco,Compressors,Reciprocating Air Compressor,ATL-CMP-680,"atlas copco Reciprocating Air Compressor ATL-CMP-680 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",12177.3,EUR,460 V 60Hz,37 kW,50 Hz,2950 RPM,327.7 lbs,110.2x73.0x51.7 cm,Acoustic Enclosure,IP54,12 Months,Atlas Copco,Italy,Global Electro Corp,Field Engineering Audit,https://docs.productiq-assets.com/specs/atlas_copco/atl-cmp-680.pdf,https://www.industrial-supply-direct.com/item/atl-cmp-680
PID-10016,Mitsubishi Electric High Performance Human Machine Interface (HMI) MIT-CTL-246,mitsubishi electric,Control Systems,Human Machine Interface (HMI),MIT-CTL-246,<div><p>Industrial Control Systems - MIT-CTL-246</p><span>Manufacturer: mitsubishi electric</span><br>Standard spec with warranty: 2 Years</div>,4675.61,USD,230 V AC,7.5 kW,0-400 Hz Output,N/A,437.1 kg,L:598 W:228 H:678,Industrial Thermoplastic,ip20,2 Years,mitsubishi electric,Switzerland,Global Electro Corp,Vendor Portal Upload,https://docs.productiq-assets.com/specs/mitsubishi_electric/mit-ctl-246.pdf,https://www.industrial-supply-direct.com/item/mit-ctl-246
PID-10017,Legrand LEG-ELC-369 - Surge Protection Device,legrand,Electrical Components,Surge Protection Device,LEG-ELC-369,REDUNDANT RECORD: legrand LEG-ELC-369 Electrical Components Surge Protection Device. Contact supplier Global Electro Corp for spec sheet.,16625.05,EUR,230/400V,100 kVA,50 Hz,N/A,190.9 kg,L:1075 W:559 H:896,DMC Polyester Glass,,12 Months,legrand,China,Global Electro Corp,Supplier Price File 2024,,https://www.industrial-supply-direct.com/item/leg-elc-369
PID-10018,banner engineering Explosion Proof Beacon BAN-SFT-324,Banner Engineering,Safety Equipment,Explosion Proof Beacon,BAN-SFT-324,Heavy-duty industrial grade Explosion Proof Beacon engineered by Banner Engineering. Designed for continuous continuous operation in harsh industrial environments with high thermal efficiency and rugged construction.,1854.09,USD,Battery / 3.6V,10 W,50/60 Hz,N/A,285.8 LBS,L:880 W:711 H:643,Reinforced Polymer,IP67,36 Months Extended,Banner Engineering,United States,Precision Parts Direct,Supplier Price File 2024,https://docs.productiq-assets.com/specs/banner_engineering/ban-sft-324.pdf,https://www.industrial-supply-direct.com/item/ban-sft-324
PID-10019,Caterpillar CAT-PWR-256 - Industrial Diesel Generator,Caterpillar,Power Equipment,Industrial Diesel Generator,CAT-PWR-256,Heavy-duty industrial grade Industrial Diesel Generator engineered by Caterpillar. Designed for continuous continuous operation in harsh industrial environments with high thermal efficiency and rugged construction.,14460.47,USD,480 V,1200 kW,60 Hz,1800 rpm,43.3 kg,L:297 W:481 H:233,Marine Grade Aluminum,IP20,36 Months Extended,Caterpillar,Italy,Precision Parts Direct,Vendor Portal Upload,https://docs.productiq-assets.com/specs/caterpillar/cat-pwr-256.pdf,https://www.industrial-supply-direct.com/item/cat-pwr-256
PID-10020,Baldor-Reliance DC Traction Motor BAL-MTR-165 (7.5 kW),Baldor-Reliance,Industrial Motors,DC Traction Motor,BAL-MTR-165,<div><p>Industrial Industrial Motors - BAL-MTR-165</p><span>Manufacturer: Baldor-Reliance</span><br>Standard spec with warranty: 12 Months</div>,11084.55,USD,230/400V,7.5 kW,60 Hz,1450 RPM,103.7 lbs,15.3x72.3x77.3 cm,Aluminum,IP66,12 Months,Baldor-Reliance,Japan,Precision Parts Direct,OEM Technical Data Sheet,https://docs.productiq-assets.com/specs/baldor-reliance/bal-mtr-165.pdf,https://www.industrial-supply-direct.com/item/bal-mtr-165
PID-10021,SULZER MULTISTAGE HIGH-PRESSURE PUMP SUL-PMP-357,Sulzer,Pumps,Multistage High-Pressure Pump,SUL-PMP-357,<div><p>Industrial Pumps - SUL-PMP-357</p><span>Manufacturer: Sulzer</span><br>Standard spec with warranty: 1 Year Standard</div>,13369.63,USD,230 V,3.7 kW,50 Hz,2900 RPM,40.5 kg,"7.9"" x 31.1"" x 7.2""",Cast Iron GG25,IP 68,1 Year Standard,Sulzer,United Kingdom,Nordic Machinery Hub,Vendor Portal Upload,https://docs.productiq-assets.com/specs/sulzer/sul-pmp-357.pdf,https://www.industrial-supply-direct.com/item/sul-pmp-357
PID-10022,Emerson Fisher High Performance Check Valve EME-VLV-868,Emerson Fisher,Valves,Check Valve,EME-VLV-868,"Emerson Fisher High Performance Check Valve EME-VLV-868 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",11911.65,$,,N/A,60 Hz,N/A,149.3 kg,981x279x232mm,Hastelloy C,IP65,36 Months Extended,Emerson Fisher,Italy,Apex Industrial Supplies,Vendor Portal Upload,https://docs.productiq-assets.com/specs/emerson_fisher/eme-vlv-868.pdf,invalid-url-item
PID-10023,Endress+Hauser Electromagnetic Flowmeter END-SNS-545,Endress+Hauser,Sensors,Electromagnetic Flowmeter,END SNS 545,<div><p>Industrial Sensors - END SNS 545</p><span>Manufacturer: Endress+Hauser</span><br>Standard spec with warranty: </div>,209.55,$,4-20mA 24V,< 3W,N/A,N/A,41.9 kilograms,"39.1"" x 27.7"" x 20.1""",316L SS,IP69K,,Endress+Hauser,Italy,Global Electro Corp,ERP Master Data,https://docs.productiq-assets.com/specs/endress+hauser/end sns 545.pdf,invalid-url-item
PID-10024,koyo Tapered Roller Bearing KOY-BRG-612,koyo,Bearings,Tapered Roller Bearing,KOY-BRG-612,"koyo Tapered Roller Bearing KOY-BRG-612 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",16124.02,EUR,N/A,N/A,N/A,6000 RPM,223.6 kilograms,L:1019 W:797 H:678,High Carbon Chrome Steel 100Cr6,N/A,24 months,koyo,Italy,Global Electro Corp,Field Engineering Audit,,https://www.industrial-supply-direct.com/item/koy-brg-612
PID-10025,Kaeser High Performance Vane Compressor KAE-CMP-723,Kaeser,Compressors,Vane Compressor,KAE-CMP-723,"Kaeser High Performance Vane Compressor KAE-CMP-723 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",7119.54,USD,400V 50Hz,110 kW,50 Hz,2950 RPM,429.5 g,L:1021 W:685 H:767,Cast Iron Block,,1 Year Standard,Kaeser,Sweden,Apex Industrial Supplies,Vendor Portal Upload,https://docs.productiq-assets.com/specs/kaeser/kae-cmp-723.pdf,https://www.industrial-supply-direct.com/item/kae-cmp-723
PID-10026,Rockwell Allen-Bradley High Performance Safety Relay ROC-CTL-897,Rockwell Allen-Bradley,Control Systems,Safety Relay,ROC CTL 897,REDUNDANT RECORD: Rockwell Allen-Bradley ROC CTL 897 Control Systems Safety Relay. Contact supplier Apex Industrial Supplies for spec sheet.,11997.4,$,24 V DC,30 W,0-400 Hz Output,N/A,32.0 kg,L:891 W:390 H:358,Industrial Thermoplastic,IP20 / NEMA 1,,Rockwell Allen-Bradley,Italy,Apex Industrial Supplies,OEM Technical Data Sheet,https://docs.productiq-assets.com/specs/rockwell_allen-bradley/roc ctl 897.pdf,https://www.industrial-supply-direct.com/item/roc ctl 897
PID-10027,Siemens High Performance Air Circuit Breaker (ACB) SIE-ELC-214,Siemens,Electrical Components,Air Circuit Breaker (ACB),SIE-ELC-214,"*** SIEMENS SPECIAL PROMO *** Model SIE-ELC-214. High reliability, certified quality. Suitable for power, water, oil&gas applications. Order now.",4543.95,USD,1000 V,250 kVA,50 Hz,N/A,44.3 g,841x118x471mm,Silver Alloy Contacts,IP30,24 months,Siemens,Switzerland,Global Electro Corp,Supplier Price File 2024,https://docs.productiq-assets.com/specs/siemens/sie-elc-214.pdf,https://www.industrial-supply-direct.com/item/sie-elc-214
PID-10028,Sick Interlock Switch SIC-SFT-180,Sick,Safety Equipment,Interlock Switch,SIC-SFT-180,"Sick Interlock Switch SIC-SFT-180 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",15124.03,USD,Battery / 3.6V,5 W,50/60 Hz,N/A,186.4 g,"39.7"" x 28.5"" x 15.4""",Reinforced Polymer,Ex d IIC T6,2 Years,Sick,Switzerland,TechFlow Solutions,Vendor Portal Upload,https://docs.productiq-assets.com/specs/sick/sic-sft-180.pdf,https://www.industrial-supply-direct.com/item/sic-sft-180
PID-10029,sma solar Online Double-Conversion UPS SMA-PWR-231,SMA Solar,Power Equipment,Online Double-Conversion UPS,SMA-PWR-231,Heavy-duty industrial grade Online Double-Conversion UPS engineered by SMA Solar. Designed for continuous continuous operation in harsh industrial environments with high thermal efficiency and rugged construction.,17524.67,USD,230 V Single Phase,1200 kW,60 Hz,N/A,420.6 g,35.5x39.1x18.5 cm,Galvanized Steel Weatherproof,IP20,1 Year Standard,SMA Solar,Sweden,Nordic Machinery Hub,Vendor Portal Upload,https://docs.productiq-assets.com/specs/sma_solar/sma-pwr-231.pdf,https://www.industrial-supply-direct.com/item/sma-pwr-231
PID-10030,Siemens Explosion-Proof Motor SIE-MTR-640 (45 kW),Siemens,Industrial Motors,Explosion-Proof Motor,SIE-MTR-640,REDUNDANT RECORD: Siemens SIE-MTR-640 Industrial Motors Explosion-Proof Motor. Contact supplier Global Electro Corp for spec sheet.,17846.06,EUR,,45 kW,60 Hz,1500 rpm,19.6 kilograms,384 x 580 x 559 mm,Cast Iron,IP 55,12 Months,Siemens,Switzerland,Global Electro Corp,ERP Master Data,https://docs.productiq-assets.com/specs/siemens/sie-mtr-640.pdf,https://www.industrial-supply-direct.com/item/sie-mtr-640
PID-10031,Wilo Submersible Slurry Pump WIL-PMP-830 (11 kW),wilo,Pumps,Submersible Slurry Pump,WIL-PMP-830,REDUNDANT RECORD: wilo WIL-PMP-830 Pumps Submersible Slurry Pump. Contact supplier Continental Drive Systems for spec sheet.,18410.99,$,400 V,5.5 kW,50/60 Hz,1450 RPM,194.6 LBS,L:953 W:291 H:780,Stainless Steel 316,IP68,24 months,wilo,China,Continental Drive Systems,Distributor Catalog EU,https://docs.productiq-assets.com/specs/wilo/wil-pmp-830.pdf,https://www.industrial-supply-direct.com/item/wil-pmp-830
PID-10032,Kitz Butterfly Valve KIT-VLV-548,Kitz,Valves,Butterfly Valve,KIT-VLV-548,"Kitz Butterfly Valve KIT-VLV-548 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",2370.43,USD,110 VAC,15 W,60 Hz,N/A,160.2 kg.,458x575x812mm,CF8M Stainless,NEMA 4X,,Kitz,United States,Precision Parts Direct,OEM Technical Data Sheet,,https://www.industrial-supply-direct.com/item/kit-vlv-548
PID-10033,YOKOGAWA PRESSURE TRANSMITTER YOK-SNS-446,Yokogawa,Sensors,Pressure Transmitter,YOK-SNS-446,"YOKOGAWA PRESSURE TRANSMITTER YOK-SNS-446 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",10314.46,€,,< 3W,DC,N/A,335.1 lbs,L:482 W:608 H:808,PVDF,IP69K,24 months,Yokogawa,France,Apex Industrial Supplies,Distributor Catalog EU,https://docs.productiq-assets.com/specs/yokogawa/yok-sns-446.pdf,https://www.industrial-supply-direct.com/item/yok-sns-446
PID-10034,NTN NTN-BRG-107 - Spherical Roller Bearing,NTN,Bearings,Spherical Roller Bearing,NTN-BRG-107,"NTN NTN-BRG-107 - Spherical Roller Bearing offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",4351.08,GBP,,,N/A,6000 RPM,426.7 kg,931x472x625mm,Stainless Steel 440C,Open,12 Months,NTN,Finland,Precision Parts Direct,OEM Technical Data Sheet,,invalid-url-item
PID-10035,atlas copco Centrifugal Turbo Compressor ATL-CMP-172,Atlas Copco,Compressors,Centrifugal Turbo Compressor,ATL-CMP-172,<div><p>Industrial Compressors - ATL-CMP-172</p><span>Manufacturer: Atlas Copco</span><br>Standard spec with warranty: 5 Years</div>,12425.74,USD,460 V 60Hz,110 kW,60 Hz,3000 rpm,14.1 KG,89.2x67.5x22.0 cm,Cast Iron Block,IP55,5 Years,Atlas Copco,Switzerland,Continental Drive Systems,Supplier Price File 2024,https://docs.productiq-assets.com/specs/atlas_copco/atl-cmp-172.pdf,https://www.industrial-supply-direct.com/item/atl-cmp-172
PID-10036,ROCKWELL ALLEN-BRADLEY SAFETY RELAY ROC-CTL-235,rockwell allen-bradley,Control Systems,Safety Relay,ROC-CTL-235,REDUNDANT RECORD: rockwell allen-bradley ROC-CTL-235 Control Systems Safety Relay. Contact supplier TechFlow Solutions for spec sheet.,10723.48,EUR,24vdc,150 W,0-400 Hz Output,N/A,287.9 kilograms,559x224x305mm,Metal Alloy,IP20 / NEMA 1,,rockwell allen-bradley,Germany,TechFlow Solutions,Supplier Price File 2024,https://docs.productiq-assets.com/specs/rockwell_allen-bradley/roc-ctl-235.pdf,https://www.industrial-supply-direct.com/item/roc-ctl-235
PID-10037,ABB ABB-ELC-926 - Industrial Transformer,abb,Electrical Components,Industrial Transformer,ABB-ELC-926,<div><p>Industrial Electrical Components - ABB-ELC-926</p><span>Manufacturer: abb</span><br>Standard spec with warranty: </div>,1880.88,GBP,415 VAC,630 A Rating,60 Hz,N/A,351.7 g,364 x 543 x 614 mm,Silver Alloy Contacts,,,abb,China,Global Electro Corp,Distributor Catalog EU,https://docs.productiq-assets.com/specs/abb/abb-elc-926.pdf,https://www.industrial-supply-direct.com/item/abb-elc-926
PID-10038,pepperl+fuchs Gas Detection Monitor PEP-SFT-462,Pepperl+Fuchs,Safety Equipment,Gas Detection Monitor,PEP-SFT-462,"Compact and durable Gas Detection Monitor with 0.02 kW rating, rated for Battery / 3.6V networks.",8719.9,USD,Battery / 3.6V,0.02 kW,DC,N/A,423.9 KG,791 x 677 x 142 mm,Flameproof Aluminum,IP69K,12 Months,Pepperl+Fuchs,Finland,TechFlow Solutions,Distributor Catalog EU,https://docs.productiq-assets.com/specs/pepperl+fuchs/pep-sft-462.pdf,https://www.industrial-supply-direct.com/item/pep-sft-462
PID-10039,Huawei Digital Power HUA-PWR-789 - Industrial Diesel Generator,Huawei Digital Power,Power Equipment,Industrial Diesel Generator,HUA-PWR-789,"*** HUAWEI DIGITAL POWER SPECIAL PROMO *** Model HUA-PWR-789. High reliability, certified quality. Suitable for power, water, oil&gas applications. Order now.",1262.24,$,400 V 3-Phase,1200 kW,60 Hz,1800 rpm,274.0 kg.,75.3x45.3x50.8 cm,Marine Grade Aluminum,IP54 Outdoor,36 Months Extended,Huawei Digital Power,United States,TechFlow Solutions,Vendor Portal Upload,https://docs.productiq-assets.com/specs/huawei_digital_power/hua-pwr-789.pdf,https://www.industrial-supply-direct.com/item/hua-pwr-789
PID-10040,SEW-EURODRIVE EXPLOSION-PROOF MOTOR SEW-MTR-919,sew-eurodrive,Industrial Motors,Explosion-Proof Motor,SEW MTR 919,REDUNDANT RECORD: sew-eurodrive SEW MTR 919 Industrial Motors Explosion-Proof Motor. Contact supplier Nordic Machinery Hub for spec sheet.,3665.68,$,380-415 V,15 KW,50/60 Hz,1500 rpm,225.1 kg,113.5x56.8x34.6 cm,Stainless Steel,IP65,12 Months,sew-eurodrive,Japan,Nordic Machinery Hub,Distributor Catalog EU,https://docs.productiq-assets.com/specs/sew-eurodrive/sew mtr 919.pdf,https://www.industrial-supply-direct.com/item/sew mtr 919
PID-10041,Wilo Diaphragm Pump WIL-PMP-243 (15 kW),Wilo,Pumps,Diaphragm Pump,WIL PMP 243,REDUNDANT RECORD: Wilo WIL PMP 243 Pumps Diaphragm Pump. Contact supplier Global Electro Corp for spec sheet.,5261.3,USD,415V,7.5 kW,60 Hz,1450 RPM,127.7 LBS,34.3x23.1x19.9 cm,Duplex Steel,,36 Months Extended,Wilo,Sweden,Global Electro Corp,ERP Master Data,https://docs.productiq-assets.com/specs/wilo/wil pmp 243.pdf,https://www.industrial-supply-direct.com/item/wil pmp 243
PID-10042,Samson Pneumatic Ball Valve SAM-VLV-553,samson,Valves,Pneumatic Ball Valve,SAM-VLV-553,"Samson Pneumatic Ball Valve SAM-VLV-553 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",1078.3,USD,24 V DC,15 W,50 Hz,N/A,221.7 LBS,"5.3"" x 18.8"" x 17.3""",Forged Steel A105,NEMA 4X,36 Months Extended,samson,Germany,Continental Drive Systems,ERP Master Data,https://docs.productiq-assets.com/specs/samson/sam-vlv-553.pdf,https://www.industrial-supply-direct.com/item/sam-vlv-553
PID-10043,Sick SIC-SNS-195 - Pressure Transmitter,Sick,Sensors,,SIC-SNS-195,"Sick SIC-SNS-195 - Pressure Transmitter offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",8043.29,EUR,12-30 VDC,5 W,N/A,N/A,93.7 LBS,1065x163x822mm,Hastelloy,,36 Months Extended,Sick,United Kingdom,Continental Drive Systems,ERP Master Data,https://docs.productiq-assets.com/specs/sick/sic-sns-195.pdf,https://www.industrial-supply-direct.com/item/sic-sns-195
PID-10044,Timken TIM-BRG-985 - Spherical Roller Bearing,Timken,Bearings,Spherical Roller Bearing,TIM-BRG-985,<div><p>Industrial Bearings - TIM-BRG-985</p><span>Manufacturer: Timken</span><br>Standard spec with warranty: 1 Year Standard</div>,3171.09,EUR,N/A,,N/A,8500 rpm,318.0 kg.,L:660 W:394 H:224,High Carbon Chrome Steel 100Cr6,2RS Sealed,1 Year Standard,Timken,Italy,Global Electro Corp,Supplier Price File 2024,,https://www.industrial-supply-direct.com/item/tim-brg-985
PID-10045,Atlas Copco Oil-Free Scroll Compressor ATL-CMP-371,Atlas Copco,Compressors,Oil-Free Scroll Compressor,ATL-CMP-371,"Compact and durable Oil-Free Scroll Compressor with standard power rating, rated for 400V 50Hz networks.",8186.3,USD,400V 50Hz,,60 Hz,2950 RPM,187.5 g,381x105x663mm,Acoustic Enclosure,IP54,1 Year Standard,Atlas Copco,United Kingdom,Nordic Machinery Hub,Field Engineering Audit,https://docs.productiq-assets.com/specs/atlas_copco/atl-cmp-371.pdf,https://www.industrial-supply-direct.com/item/atl-cmp-371
PID-10046,Omron High Performance Safety Relay OMR-CTL-777,Omron,Control Systems,Safety Relay,OMR CTL 777,"Omron High Performance Safety Relay OMR-CTL-777 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",2990.52,EUR,24VDC / 120VAC,150 W,50/60 Hz,N/A,433.1 kg.,11.8x40.5x68.1 cm,Industrial Thermoplastic,IP65 Bezel,24 months,Omron,China,Continental Drive Systems,Supplier Price File 2024,https://docs.productiq-assets.com/specs/omron/omr ctl 777.pdf,https://www.industrial-supply-direct.com/item/omr ctl 777
